id	name	location	time created	tweet url	source	retweet count	likes	tweet	compound	Sentiment
2860394045	Time keeper	far away	2022-08-16 07:03:12+00:00	https://twitter.com/GAZZYOLA/status/1559435590277500928	Twitter for Android	484	0	RT MY EDO PEOPLE THAT S KABAKA ON BLUE CAP amp I DON T HAVE TO TELL YOU WHO HE IS IF TINUBU ENTER ASO ROCK KABAKA amp HIS GA	0.0	Neutral
1485963531971436548	Elaigwuresource	Akure, Nigeria	2022-08-16 07:03:11+00:00	https://twitter.com/elaigwuresource/status/1559435588016775169	Twitter Web App	0	0	That I still caution youth also found mocking many year also old Tinubu complaint used world Life collaborative mind mock others	-0.7717	Negative
751358721608081410	Daddy PJ💧	Benin-City, Nigeria	2022-08-16 07:03:11+00:00	https://twitter.com/_daddypj/status/1559435587790184448	Twitter for Android	1	7	I like fact post kwankwaso Sowore Tinubu even Atiku Nobody launch stone empty tree We really appreciate fact making peter Obi popular tweet You secretly OBIDIENT	0.7574	Positive
1043797395572740096	Charlesochapa	Lagos, Nigeria	2022-08-16 07:03:10+00:00	https://twitter.com/Charlesochapa2/status/1559435582610309121	Twitter for Android	0	0	Tinubu also running first time	0.0	Neutral
802676028	A BETTER 🇳🇬🇳🇬🇳🇬 FOR PETER OBI		2022-08-16 07:03:09+00:00	https://twitter.com/udeh_okey/status/1559435580605435905	Twitter for Android	1	0	RT Tinubu never enter Don stato dey Fake thing Him CHINA	-0.4767	Negative
1203534294108520448	Emerenini Stanley		2022-08-16 07:03:08+00:00	https://twitter.com/EmereniniStanl1/status/1559435574670393344	Twitter for Android	472	0	RT Breaking Tinubu camp cry lack fund social medium campaign warning PO surge popularity everywh	-0.8415	Negative
1454368093141028865	Okay Good 🪐🪐🪐🥲🦾	World	2022-08-16 07:03:07+00:00	https://twitter.com/WulohAlfred/status/1559435570245472258	Twitter for Android	2189	0	RT While El Rufai Tinubu Kwankwaso Buba Galadima Festus Keyamo amp others talk Peter Obi man opposite	0.0	Neutral
1251054583708897280	H A R R I E T	Happiness	2022-08-16 07:03:07+00:00	https://twitter.com/_Harriet____/status/1559435570195140608	Twitter for iPhone	167	0	RT Shorts N Joggers N Hoodies N Tshirts N Send DM Whatsapp Delivery nationwide IG	0.0	Neutral
926229753824243712	shine bright	Cameroon 	2022-08-16 07:03:06+00:00	https://twitter.com/ifechibu/status/1559435567783370756	Twitter for Android	416	0	RT Is How All Progressives Congress working Notorious criminal exconvict If Tinubu eventually becomes	-0.743	Negative
2414494947	Watson Banks	Ogun, Nigeria	2022-08-16 07:03:05+00:00	https://twitter.com/shokay1969/status/1559435561663856642	Twitter for Android	199	0	RT Reply Tweet TINUBU FOR PRESIDENT voting Bola Tinubu	0.0	Neutral
802676028	A BETTER 🇳🇬🇳🇬🇳🇬 FOR PETER OBI		2022-08-16 07:03:04+00:00	https://twitter.com/udeh_okey/status/1559435559310860288	Twitter for Android	1	1	Tinubu never enter Don stato dey Fake thing Him CHINA	-0.4767	Negative
